Title,Author,Source,Persona,Date_Collected,Trend_Reason,Trend_Category,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description,Content_Warning_Category,Diversity_Category,Genre_Category,Genre_Tropes,Genre_Themes,Genre_Format,Genre_Subtags
Deep Cuts,Holly Brickley,B&N Reads,Kenna,25-Jan,"Sharp, emotional indie",Emotional / Trauma Themes,"Literary, Contemporary",No,Indie,2024,300,Film,,"SA, mental health",Raw story about recovery,"Mental Health, Sexual Violence / SA",,Contemporary Fiction,,,,
Broken Country,Clare Leslie Hall,B&N Reads,Kenna,25-Jan,B&N winter pick,Viral Momentum,"Literary Fiction, Romance",No,Indie,2025,336,Film,,"Grief, rural trauma",Two broken people finding comfort,Death / Grief,,Romance,,,,
The Hurricane Wars,Thea Guanzon,BookTok,Kenna,25-Feb,Enemies-to-lovers romantasy + SEA rep,Romantasy Resurgence,"Romantasy, Political, Enemies-to-Lovers",Yes,Harper Voyager,2023,480,Not Yet Considered,Southeast Asian,"War, colonialism",An orphaned soldier & a shadow prince must decide if love is stronger than revolution.,"Racism / Discrimination, War / Political Oppression",Asian / South Asian,Romantasy,Enemies-to-Lovers,Political,,"Enemies-to-Lovers, Political"
His in the Dark,Willa Winters,BookTok,Kenna,25-Feb,Spice-heavy indie dark romance,Indie Author Buzz,"Smut, Dark Romance, Obsession",Yes,Indie,2023,360,Film,,"Coercion, dubcon",Possessive “he falls first” trope with blurred boundaries,Sexual Violence / SA,,Romance,,,Smut,Smut
Watch Me,Tahereh Mafi,B&N Reads,Kenna,25-Feb,"Quiet BookTok favorite, emotional lit-fic",Series Momentum,"Literary, Contemporary, Grief",No,Harper,2024,352,TV,Bipoc,"Mental health, grief","A woman navigates cultural identity, depression, and hope","Death / Grief, Mental Health",Uncategorized,Contemporary Fiction,,Grief,,Grief
Lady of Darkness,Melissa K. Roehrich,BookTok,Kenna,25-Feb,KU romantasy gaining traction,Romantasy Resurgence,"Fantasy, Romance, Trials, Smut",Yes,Indie,2022,438,Film,,"Abuse, emotional manipulation","A morally gray heroine battles enemies, fate, and desire",Abuse (Emotional/Physical),,Fantasy,Trials,,Smut,"Smut, Trials"
House of Marionne,J. Elle,BookTok,Kenna,25-Feb,BIPOC dark academia vibes,Indie Author Buzz,"YA Fantasy, Magic, Secret Societies",Yes,Razorbill,2023,432,Not Yet Considered,Bipoc,Power imbalance,"Magical training with class, race, and romance tension",Uncategorized,Uncategorized,Fantasy,Secret Societies,,,Secret Societies
Fourth Wing,Rebecca Yarros,BookTok,Kenna,25-Feb,"Still trending post-Iron Flame, rereads",Viral Momentum,"Romantasy, Dragons, Military School",Yes,Entangled,2023,528,Not Yet Considered,,"PTSD, violence",Violet’s brutal training and spicy romance keep it viral,"Mental Health, Violence",,Romantasy,Dragons,,,Dragons
Binding 13,Chloe Walsh,BookTok,Kenna,25-Feb,Emotional sports romance binge,Emotional / Trauma Themes,"New Adult, Romance, Trauma",Yes,Self-Pub,2018,600,Not Yet Considered,,"Abuse, depression",A rugby player falls for a girl with deep emotional scars,"Abuse (Emotional/Physical), Mental Health",,Romance,,Trauma Recovery,,Trauma Recovery
Reckless Love,Unknown,BookTok,Kenna,25-Feb,Mysterious viral KU title,Viral Momentum,"Smut, Romance, Possessive Hero",Yes,Indie,2025,~300,Film,,"Dubcon, manipulation","Toxic love, TikTok drama book","Abuse (Emotional/Physical), Sexual Violence / SA",,Romance,Possessive Hero,,Smut,"Possessive Hero, Smut"
The Deep End,Ali Hazelwood,BookTok,Kenna,25-Feb,Spicy novella in viral STEMinist world,Viral Momentum,"Smut, Contemporary, Short Reads",Yes,Berkley,2024,112,TV,,Explicit sex scenes,Poolside hookup novella from a fan-favorite author,Sexual Content / Explicit Scenes,,Romance,,,"Short Reads, Smut","Short Reads, Smut"
Fireborne,Rosaria Munda,BookTok,Kenna,25-Feb,Readers want more dragons post-Fourth Wing,Trending Tropes (BookTok),"YA Fantasy, Dragons, Political",Yes,G.P. Putnam’s Sons,2019,448,In Dev,,War trauma,"Dragonriders in a revolution, but make it philosophical",War / Political Oppression,,Fantasy,Dragons,Political,,"Dragons, Political"
The Night Defying,Chloe C. Penaranda,BookTok,Kenna,25-Feb,Indie romantasy with emotional edge,Emotional / Trauma Themes,"Fantasy, Romance, Prophecy",Yes,Indie,2024,402,Not Yet Considered,,"Trauma, death","Fated bonds, ancient magic, and aching tension",Death / Grief,,Fantasy,,,,
Belladonna,Adalyn Grace,BookTok,Kenna,25-Feb,"Gothic romantasy, TV optioned",Other / Uncategorized,"YA Fantasy, Paranormal",Yes,"Little, Brown",2022,416,Film,,Death,A girl who can talk to spirits falls for Death himself,Death / Grief,,Fantasy,,,,
Out of the Woods,Hannah Bonam-Young,BookTok,Kenna,25-Feb,"Queer, cozy + emotionally healing",Emotional / Trauma Themes,"Queer Romance, Nature, Grief",No,Indie,2024,384,Film,Lgbtq+,"Anxiety, self-worth",Romance rooted in vulnerability + hope,Mental Health,Queer Identity,Romance,,Grief,,Grief
Phantom,H.D. Carlton,BookTok,Kenna,25-Feb,Spicy retelling gone viral again,Viral Momentum,"Smut, Thriller, Retelling",Yes,Indie,2022,420,Film,,"Stalking, obsession",A Phantom of the Opera reimagining with a dark twist,Uncategorized,,Romance,Retelling,,Smut,"Retelling, Smut"
The Three Lives of Cate Kay,Kate Fagan,BookTok,Kenna,25-Feb,Literary meets speculative twist,Other / Uncategorized,"Contemporary, Speculative",No,"Little, Brown",2025,384,Not Yet Considered,,,,,,Contemporary Fiction,,,,
Scythe and Sparrow,Brynne Weaver,BookTok,Kenna,25-Mar,Queer romantasy resurgence,Romantasy Resurgence,"Queer Fantasy, Romance, Gothic",Yes,Self-Published,2023,376,Not Yet Considered,Lgbtq+,"Death, grief","A moody, magical queer love story with big feels",Death / Grief,Queer Identity,Fantasy,,,,
Comeback,Rebecca Jenshak,BookTok,Kenna,25-Mar,Sports romance with real emotional arc,Emotional / Trauma Themes,"Contemporary, Romance, New Adult",Yes,Indie,2024,360,TV,,Cheating rumors,Star athlete and bookish girl fall into messy love,Uncategorized,,Romance,,,,
Once Smitten Twice Shy,Chloe Liese,BookTok,Kenna,25-Mar,#ChronicIllnessRep trending again,Viral Momentum,"Contemporary Romance, Disability Rep",No,Berkley,2023,352,Not Yet Considered,Neurodiverse,"Ableism, grief","Cozy, inclusive romance from a fan-favorite author","Death / Grief, Disability / Neurodivergence",Neurodivergent,Romance,,,,
Fourth Wing,Rebecca Yarros,BookTok,Kenna,25-Mar,Re-buzz due to anniversary & rereads,New Release Buzz,"Romantasy, Dragons, Trials",Yes,Entangled,2023,528,Not Yet Considered,,"PTSD, war",Violet and Xaden have the fandom in a chokehold,"Mental Health, War / Political Oppression",,Romantasy,"Dragons, Trials",,,"Dragons, Trials"
Binding 13,Chloe Walsh,BookTok,Kenna,25-Mar,Emotional trauma + sports combo,Emotional / Trauma Themes,"NA Romance, Rugby, Healing",Yes,Self-Published,2018,600,Not Yet Considered,,"Abuse, anxiety",He protects her. She saves him. Big feels.,"Abuse (Emotional/Physical), Mental Health",,Romance,,"Healing, Trauma Recovery",,"Healing, Trauma Recovery"
Deep End,Ali Hazelwood,BookTok,Kenna,25-Mar,Spicy novella reruns on KU,Viral Momentum,"Smut, Short Romance",Yes,Berkley,2024,112,Film,,Explicit scenes,Poolside hookup in a STEM-inist novella world,Sexual Content / Explicit Scenes,,Romance,,,Smut,Smut
Credence,Penelope Douglas,BookTok,Kenna,25-Mar,BookTok drama book resurfaces,Series Momentum,"Taboo Romance, Smut",No,Indie,2020,480,Film,,"Age gap, coercion",Wild girl + three mountain men = chaos,Sexual Violence / SA,,Romance,,,Smut,Smut
The Crash,Freida McFadden,BookTok,Kenna,25-Mar,Twist-heavy thriller gone viral again,Viral Momentum,"Psychological Thriller, Domestic",No,Sourcebooks,2023,336,Film,,"Death, gaslighting","Fast-paced, bingeable dark mystery","Abuse (Emotional/Physical), Death / Grief",,Horror,,,,
The Wedding People,Alison Espach,B&N Reads,Kenna,25-Mar,Emotional literary pick,Emotional / Trauma Themes,"Lit Fic, Romance, Emotional Satire",No,Henry Holt,2024,384,Film,,Loneliness,Wedding guests realize how lost they are,Uncategorized,,Romance,,Satire,,Satire
King of Envy,Ana Huang,BookTok,Kenna,25-Mar,Billionaire BookTok cycle continues,Series Momentum,"Romance, Smut, Modern Royals",Yes,Indie,2023,392,Not Yet Considered,,Power imbalance,"Rich, ruthless man falls against his will",Uncategorized,,Romance,,,Smut,Smut
Out of the Woods,Hannah Bonam-Young,BookTok,Kenna,25-Mar,Queer mental health + cozy vibes,Queer / Identity-Based Discovery,"Queer Romance, Healing",No,Indie,2024,384,Film,Lgbtq+,"Anxiety, trauma",Queer adults finding love in a quiet life,Mental Health,Queer Identity,Romance,,"Healing, Trauma Recovery",,"Healing, Trauma Recovery"
Lady of Darkness,Melissa K. Roehrich,BookTok,Kenna,25-Mar,KU romantasy keeps climbing,Romantasy Resurgence,"Fantasy, Romance, Trials",Yes,Self-Pub,2022,438,Film,,"Abuse, violence",Magic meets broken girls + intense spice,"Abuse (Emotional/Physical), Violence",,Fantasy,Trials,,,Trials
Wild and Wrangled,Lyla Sage,BookTok,Kenna,25-Mar,Small-town spicy romance returns,Viral Momentum,"Contemporary Romance, Cowboy",Yes,Bloom Books,2023,368,Not Yet Considered,,"Family tension, spice",Cowboy chaos + one horse girl in love,Uncategorized,,Romance,,,,
Cruel is the Light,Sophie Clark,BookTok,Kenna,25-Mar,"Indie dark romance, morally gray vibes",Indie Author Buzz,"Romance, Thriller, Smut",Yes,Indie,2025,400,Not Yet Considered,,"Possessiveness, trauma",A love that burns too bright and hurts,Sexual Violence / SA,,Romance,,,Smut,Smut
The Favourites,Layne Fargo,BookTok,Kenna,25-Mar,Queer thriller in BookTok rec stacks,Series Momentum,"Thriller, Suspense, Queer Lit",No,Gallery Books,2024,368,TV,Lgbtq+,"Jealousy, toxicity","Messy women, ambition, obsession",Uncategorized,Queer Identity,Mystery / Thriller,,Queer Lit,,Queer Lit
Redeeming 6,Chloe Walsh,BookTok,Kenna,25-Apr,Long-awaited series finale,Series Momentum,"New Adult, Romance, Trauma",Yes,Self-Pub,2020,620,Not Yet Considered,,"Abuse, addiction",The tortured bad boy finally gets his redemption arc,"Abuse (Emotional/Physical), Addiction / Substance Use",,Romance,,Trauma Recovery,,Trauma Recovery
City of Gods and Monsters,Kayla Edwards,BookTok,Kenna,25-Apr,Massive romantasy world trending,Romantasy Resurgence,"Fantasy, Romance, Dark Academia",Yes,Indie,2022,700+,Not Yet Considered,,"Violence, trauma",Fans call it “ACOTAR meets Crescent City with teeth”,Violence,,Fantasy,,Dark Academia,,Dark Academia
Quicksilver,Callie Hart,BookTok,Kenna,25-Apr,Dark romance binge series,Series Momentum,"Romance, Thriller, Smut",Yes,Indie,2022,400+,Film,,"Kidnapping, violence",Twisted but unputdownable,Violence,,Romance,,,Smut,Smut
The Frozen River,Ariel Lawhon,B&N Reads,Kenna,25-Apr,Haunting historical mystery,Viral Momentum,"Historical Fiction, Suspense",No,Doubleday,2023,432,Film,,"SA, murder","Based on true events, a midwife investigates a body found in the river","Sexual Violence / SA, Violence",,Mystery / Thriller,,,,
The God of the Woods,Liz Moore,BookTok,Kenna,25-Apr,Literary + eerie mystery blend,Viral Momentum,"Literary Fiction, Mystery",No,Riverhead,2024,464,Film,,Child disappearance,TikTok calls it “Sharp Objects meets Station Eleven”,Sexual Violence / SA,,Mystery / Thriller,,,,
Belladonna,Adalyn Grace,BookTok,Kenna,25-Apr,Re-trending due to sequel buzz,Series Momentum,"YA Fantasy, Paranormal Romance",Yes,"Little, Brown",2022,416,Film,,Death,Death personified + spooky gothic manor = chef’s kiss,Death / Grief,,Fantasy,,,,
What the River Knows,Isabel Ibañez,BookTok,Kenna,25-Apr,Book 2 release = Book 1 trending,Series Momentum,"YA Fantasy, Egyptology",Yes,Wednesday Books,2023,384,Not Yet Considered,Latine,"Colonial themes, grief",Magic + adventure in 19th-century Cairo,"Death / Grief, Racism / Discrimination",Latinx,Fantasy,,,,
Beautiful Ugly,Alice Feeney,BookTok,Kenna,25-Apr,“Psychological thriller of the year”,Viral Momentum,"Thriller, Domestic Suspense",No,Flatiron,2024,368,TV,,"Abuse, gaslighting",A beauty influencer’s life spirals after a viral lie,Abuse (Emotional/Physical),,Mystery / Thriller,,,,
Comeback,Rebecca Jenshak,BookTok,Kenna,25-Apr,Romance + redemption arc combo,Viral Momentum,"New Adult, Sports Romance",Yes,Indie,2024,360,TV,,"Trauma, cheating rumors",He left the game — now he wants to win her back,Uncategorized,,Romance,,,,
Wings of Starlight,Allison Saft,BookTok,Kenna,25-Apr,Lush romantasy with dragon tension,Romantasy Resurgence,"Fantasy, Romance, Found Family",Yes,Wednesday Books,2025,~480,Not Yet Considered,Subtle Neurodivergence,"Grief, yearning",Delicate prose + soft magic and a lot of feelings,Death / Grief,Neurodivergent,Fantasy,,Found Family,,Found Family
Phantom,H.D. Carlton,BookTok,Kenna,25-Apr,Dark retelling riding viral wave again,Viral Momentum,"Dark Romance, Retelling, Smut",Yes,Indie,2022,420,Film,,"Stalking, obsession",Phantom of the Opera meets BookTok spice,Uncategorized,,Romance,Retelling,,Smut,"Retelling, Smut"
The Wedding People,Alison Espach,B&N Reads,Kenna,25-Apr,Soft lit-fic with ironic tone,Viral Momentum,"Lit Fic, Romance, Satire",No,Henry Holt,2024,384,Film,,Emotional stagnation,Guests at a wedding reevaluate everything,Uncategorized,,Romance,,Satire,,Satire
Cruel is the Light,Sophie Clark,BookTok,Kenna,25-Apr,Spice-forward indie thriller,Indie Author Buzz,"Dark Romance, Smut, Thriller",Yes,Indie,2025,400,Not Yet Considered,,"Dubcon, possession",Fans say “if Vicious had a goth twin”,"Sexual Violence / SA, Supernatural Horror",,Romance,,,Smut,Smut
The Great Alone,Kristin Hannah,BookTok,Kenna,25-Apr,Backlist emotional blow-up,Emotional / Trauma Themes,"Literary, Survival, Family Drama",No,St. Martin’s,2018,448,Film,,"Abuse, violence","Raw, rugged, and emotional AF","Abuse (Emotional/Physical), Violence",,Uncategorized,,,,
Out of the Woods,Hannah Bonam-Young,BookTok,Kenna,25-Apr,Quiet queer romance with cozy vibes,Queer / Identity-Based Discovery,"Queer Romance, Healing",No,Indie,2024,384,Film,Lgbtq+,"Anxiety, isolation",Safe love after trauma in a forest setting,Mental Health,Queer Identity,Romance,,"Healing, Trauma Recovery",,"Healing, Trauma Recovery"
Only Love Can Hurt Like This,Paige Toon,BookTok,Kenna,25-May,Sad girl spring energy,Viral Momentum,"Contemporary Romance, Grief",No,G.P. Putnam’s Sons,2023,368,Not Yet Considered,,"Loss, heartbreak",Emotionally devastating but hopeful,Death / Grief,,Romance,,Grief,,Grief
The Women,Kristin Hannah,BookTok,Kenna,25-May,Historical lit-fic domination,Viral Momentum,"Historical Fiction, Feminism",No,St. Martin’s,2024,480,Film,,"War, sexism",Vietnam War through the lens of a female medic,War / Political Oppression,,Historical Fiction,,,,
Sunrise on the Reaping,Suzanne Collins,BookTok,Kenna,25-May,Hunger Games buzz post-release,New Release Buzz,"YA, Dystopia, Political",Yes,Scholastic,2025,~500,Film,,"Death, oppression",A new take on a familiar world of rebellion,Death / Grief,,Speculative Fiction,,Political,,Political
Out of the Woods,Hannah Bonam-Young,BookTok,Kenna,25-May,"Queer, healing, and comforting",Queer / Identity-Based Discovery,"Queer Romance, Trauma Recovery",No,Indie,2024,384,Film,Lgbtq+,"Anxiety, fear",Quiet forest romance with big emotional payoff,Mental Health,Queer Identity,Romance,,Trauma Recovery,,Trauma Recovery
The Serpent and the Wings of Night,Carissa Broadbent,BookTok,Kenna,25-May,Fans obsessing pre-Onyx Storm,Viral Momentum,"Romantasy, Vampires, Trials",Yes,Indie/Bramble,2022,496,Not Yet Considered,,"Violence, trauma",A human girl in a vampire death tournament,Violence,,Romantasy,"Trials, Vampires",,,"Trials, Vampires"
"The Savage, Noble Death of Babs Dionne",Ron Currie,B&N Reads,Kenna,25-May,Satirical but tragic backlist buzz,New Release Buzz,"Literary Fiction, Satire, Mental Health",No,Viking,2024,340,Not Yet Considered,,"Suicide, depression",Cynical brilliance meets emotional gut punch,"Death / Grief, Mental Health",,Uncategorized,,Satire,,Satire
Binding 13,Chloe Walsh,BookTok,Kenna,25-May,Backlist binge fest keeps going,Viral Momentum,"New Adult, Sports, Trauma",Yes,Self-Pub,2018,600,Not Yet Considered,,"Abuse, isolation","Readers cry, cheer, and reread",Abuse (Emotional/Physical),,New Adult (NA),,Trauma Recovery,,Trauma Recovery
Belladonna,Adalyn Grace,BookTok,Kenna,25-May,Re-trending again with TV buzz,New Release Buzz,"YA Fantasy, Paranormal",Yes,"Little, Brown",2022,416,Film,,Death,Swoony death personified + ghosty manor drama,Death / Grief,,Fantasy,,,,
Where Did You Go,Jeneane O'Riley,BookTok,Kenna,25-May,Emotional mystery goes viral,Emotional / Trauma Themes,"Contemporary, Literary, Grief",No,Indie,2025,360,Film,,"Death, loss",Quiet devastation in beautiful writing,Death / Grief,,Contemporary Fiction,,Grief,,Grief
Beautiful Ugly,Alice Feeney,BookTok,Kenna,25-May,TikTok thriller of the month,Viral Momentum,"Thriller, Suspense, Domestic",No,Flatiron,2024,368,TV,,"Abuse, gaslighting",Internet persona meets real-life unraveling,Abuse (Emotional/Physical),,Mystery / Thriller,,,,
Court of the Undying Seasons,A.M. Strickland,BookTok,Kenna,25-May,"Queer, vampire, dark academia",Other / Uncategorized,"Queer Fantasy, Magic, Vampires",Yes,Imprint,2023,400,Not Yet Considered,Lgbtq+,"Blood, abuse themes","Magic school, morally gray cast, queerness",Abuse (Emotional/Physical),Queer Identity,Fantasy,Vampires,,,Vampires
Immortal,Sue Lynn Tan,BookTok,Kenna,25-May,Mythology fans return post-sequel,Series Momentum,"Mythology, Fantasy, Romance",Yes,Harper Voyager,2024,480,Film,Asian,"Death, betrayal",Lush world based on Chinese myth,Death / Grief,Asian / South Asian,Fantasy,,,,
Comeback,Rebecca Jenshak,BookTok,Kenna,25-May,Closure arc still trending,Viral Momentum,"New Adult, Sports Romance",Yes,Indie,2024,360,TV,,Cheating rumors,Redemption arcs and clean slates,Uncategorized,,Romance,,,,
Cruel is the Light,Sophie Clark,BookTok,Kenna,25-May,Back on charts after a spicy scene went viral,Viral Momentum,"Dark Romance, Thriller, Smut",Yes,Indie,2025,400,Not Yet Considered,,"Possessiveness, dubcon",Unhealthy obsession in the name of love,Sexual Violence / SA,,Romance,,,Smut,Smut
The Three Lives of Cate Kay,Kate Fagan,B&N Reads,Kenna,25-May,Queer literary sci-fi buzz,Queer / Identity-Based Discovery,"Speculative, Contemporary, Queer Lit",No,"Little, Brown",2025,384,Not Yet Considered,Lgbtq+,Time loop grief,Sliding doors meets heartbreak,Death / Grief,Queer Identity,Contemporary Fiction,,Queer Lit,,Queer Lit
The Space Between Worlds,Micaiah Johnson,BookTok,Alex,25-Jan,Afrofuturist BookTok rec,Series Momentum,"Sci-Fi, Multiverse, Afrofuturism",No,Del Rey,2020,336,Not Yet Considered,"Black,Queer","Violence, classism",Multiverse travel is easy — unless you're the one dying in every world,"Classism / Poverty, Violence","Black / African, Queer Identity",Science Fiction,,,Verse,Verse
Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,BookTok,Alex,25-Jan,Dystopian gladiator game viral thread,Viral Momentum,"Speculative, Dystopia, Social Commentary",No,Pantheon,2023,384,Not Yet Considered,Black,"Systemic violence, gore",Reality TV + carceral horror — deeply layered,"Classism / Poverty, Violence",Black / African,Speculative Fiction,,,,
The Lesson,Cadwell Turnbull,BookTok,Alex,25-Jan,Backlist sci-fi gem resurging,Viral Momentum,"Sci-Fi, Aliens, Cultural Resistance",Yes,Blackstone,2019,286,Film,Caribbean,"Violence, colonialism",First contact in the Virgin Islands goes sideways,"Racism / Discrimination, Violence",Uncategorized,Science Fiction,,"Oppression / Resistance, Political",,"Oppression / Resistance, Political"
Lakewood,Megan Giddings,BookTok,Alex,25-Jan,Thriller with medical horror themes,Viral Momentum,"Speculative, Thriller, Dystopian",No,Amistad,2020,288,Film,Black,Medical trauma,Secret experiment for money — what would you do?,Medical / Institutional Abuse,Black / African,Mystery / Thriller,,,,
The Between,Tananarive Due,BookTok,Alex,25-Jan,Classic Black horror revived by BookTok,Series Momentum,"Horror, Speculative Thriller",No,Harper Voyager,1995 (reissued),320,TV,Black,"Nightmares, death",A man is haunted by a reality that keeps shifting,Death / Grief,Black / African,Horror,,,,
Blood Debts,Terry J. Benton-Walker,BookTok,Alex,25-Jan,Queer Black magic + family legacy,Queer / Identity-Based Discovery,"Urban Fantasy, YA, Queer",Yes,Tor Teen,2023,416,Film,"Black,Queer","Death, racism",New Orleans magic and a deadly family curse,"Death / Grief, Racism / Discrimination","Black / African, Queer Identity",Fantasy,,,,
"No Gods, No Monsters",Cadwell Turnbull,BookTok,Alex,25-Jan,Back-to-back trending author,Viral Momentum,"Speculative, Horror, Urban Fantasy",Yes,Blackstone,2021,336,Film,"Black,Queer","Death, violence",Monsters are real — and no longer hiding,"Death / Grief, Violence","Black / African, Queer Identity",Fantasy,,,,
The Black God’s Drums,P. Djèlí Clark,BookTok,Alex,25-Jan,Steampunk novella going viral again,Viral Momentum,"Steampunk, Alt History, Afrofuturism",No,Tor,2018,112,Not Yet Considered,Black,"Violence, war","Airships, storms, and rebellion in alt-NOLA","Violence, War / Political Oppression",Black / African,Science Fiction,,,,
The Memory Librarian,Janelle Monáe & others,BookTok,Alex,25-Jan,Nonbinary sci-fi brilliance resurging,Viral Momentum,"Sci-Fi, Anthology, Queer",No,Harper Voyager,2022,336,Not Yet Considered,"Queer,Black","Surveillance, grief",Afrofuturism meets techno-surveillance futures,"Death / Grief, Medical / Institutional Abuse","Black / African, Queer Identity",Science Fiction,,,Anthology,Anthology
Friday Black,Nana Kwame Adjei-Brenyah,BookTok,Alex,25-Jan,Short story collection back in rotation,Viral Momentum,"Satire, Speculative, Dystopian",No,Mariner,2018,192,Film,Black,"Violence, racism",Dark absurdism and social critique with bite,"Racism / Discrimination, Violence",Black / African,Speculative Fiction,,Satire,,Satire
The Gilda Stories,Jewelle Gomez,BookTok,Alex,25-Jan,Queer Black vampire classic trending,Queer / Identity-Based Discovery,"Queer Spec Fic, Vampire",Yes,City Lights,1991 (reissued),288,Not Yet Considered,"Black,Queer","SA, historical trauma",A woman-turned-vampire reclaims survival through the ages,Sexual Violence / SA,"Black / African, Queer Identity",Speculative Fiction,,,,
Remote Control,Nnedi Okorafor,BookTok,Alex,25-Jan,Tech-noir novella reappears on feed,Viral Momentum,"Sci-Fi, Afrofuturism, Dystopia",No,Tor,2021,160,TV,African,"Death, isolation",A mysterious girl and the deadly light she carries,Death / Grief,Black / African,Science Fiction,,,,
The Water Knife,Paolo Bacigalupi,BookTok,Alex,25-Jan,Climate thriller resurgence,Viral Momentum,"Sci-Fi, Thriller, Climate Crisis",No,Vintage,2015,384,Film,,"Drought, systemic collapse","Water is power, and people will kill to control it",Classism / Poverty,,Science Fiction,,,,
The Spite House,Johnny Compton,BookTok,Alex,25-Jan,Haunting Southern horror trending,Viral Momentum,"Horror, Haunted House, Thriller",No,Tor Nightfire,2023,304,Not Yet Considered,Black,Psychological terror,A house that wants your memories — and your family,Uncategorized,Black / African,Horror,,,,
Master of Poisons,Andrea Hairston,BookTok,Alex,25-Jan,Epic Afrofuturist fantasy returns,Viral Momentum,"Fantasy, Dystopia, Afrofuturism",No,Tor,2020,528,Film,Black,Ecological trauma,"A crumbling empire, deadly magic, and hope in defiance",Uncategorized,Black / African,Fantasy,,,,
